School_dist,Success_perc,Absent_perc,ACT_remd_perc,Median_inc,Diversity_perc,Coll_prc,Teacher_exp,Teacher_sal,Teacher_per_thous,Grad_perc
BEXLEY,0.916,0.051,0.706,74103,0.14,0.742,14,75009,49.23,0.95
CANAL W.,0.416,0.106,0.288,47642,0.32,0.353,12,55513,45.96,0.969
COLUMBUS,0.147,0.378,0.087,29943,0.72,0.314,10,67308,48.4,0.741
DUBLIN,0.846,0.088,0.67,59074,0.16,0.625,11,77439,46.25,0.975
GAHANNA,0.446,0.068,0.347,53231,0.34,0.478,10,66353,42.54,0.935
GRANDVIEW,0.707,0.066,0.641,56283,0.07,0.701,14,76209,54.49,0.958
GROVEPORT,0.23,0.173,0.146,32667,0.53,0.169,9,57640,42.68,0.803
HAMILTON,0.238,0.13,0.178,31466,0.2,0.085,10,64835,44.4,0.954
HILLIARD,0.573,0.081,0.457,54341,0.18,0.5,16,75842,43.41,0.953
NEW ALBANY,0.839,0.091,0.644,77796,0.17,0.668,15,71490,44.15,0.974
REYNOLDSBURG,0.32,0.116,0.184,37314,0.56,0.297,9,59462,37.01,0.924
S WESTERN,0.28,0.18,0.13,35744,0.33,0.207,13,65477,40,0.865
Up. ARL.,0.952,0.062,0.756,77649,0.08,0.734,15,81475,52.04,0.975
WESTERVILLE,0.511,0.087,0.411,47798,0.38,0.485,8,65799,41.66,0.905
WHITEHALL,0.169,0.238,0.106,25090,0.68,0.106,7,57958,42.08,0.77
WORTHINGTON,0.637,0.071,0.511,54002,0.25,0.573,16,73556,45.98,0.949
