School_dist,Success_perc,Absent_perc,ACT_remd_perc,Median_inc,Diversity_perc,Coll_prc,Teacher_exp,Teacher_sal,Teacher_per_thous,Grad_perc
BEXLEY,0.916,0.051,0.706,0.952,0.14,0.742,0.875,0.920638233,0.903468526,0.95
CANAL W.,0.416,0.106,0.288,0.612,0.32,0.353,0.75,0.681350107,0.843457515,0.969
COLUMBUS,0.147,0.378,0.087,0.385,0.72,0.314,0.625,0.826118441,0.888236374,0.741
DUBLIN,0.846,0.088,0.67,0.759,0.16,0.625,0.6875,0.950463332,0.848779593,0.975
GAHANNA,0.446,0.068,0.347,0.684,0.34,0.478,0.625,0.814397054,0.780693705,0.935
GRANDVIEW,0.707,0.066,0.641,0.723,0.07,0.701,0.875,0.935366677,1,0.958
GROVEPORT,0.23,0.173,0.146,0.42,0.53,0.169,0.5625,0.707456275,0.783262984,0.803
HAMILTON,0.238,0.13,0.178,0.404,0.2,0.085,0.625,0.795765572,0.814828409,0.954
HILLIARD,0.573,0.081,0.457,0.699,0.18,0.5,1,0.930862228,0.796659938,0.953
NEW ALBANY,0.839,0.091,0.644,1,0.17,0.668,0.9375,0.87744707,0.810240411,0.974
REYNOLDSBURG,0.32,0.116,0.184,0.48,0.56,0.297,0.5625,0.729818963,0.679207194,0.924
S WESTERN,0.28,0.18,0.13,0.459,0.33,0.207,0.8125,0.80364529,0.734079648,0.865
Up. ARL.,0.952,0.062,0.756,0.998,0.08,0.734,0.9375,1,0.955037622,0.975
WESTERVILLE,0.511,0.087,0.411,0.614,0.38,0.485,0.5,0.807597423,0.764543953,0.905
WHITEHALL,0.169,0.238,0.106,0.322,0.68,0.106,0.4375,0.711359313,0.772251789,0.77
WORTHINGTON,0.637,0.071,0.511,0.694,0.25,0.573,1,0.902804541,0.843824555,0.949
